failure_rate,correction_budget,final_instability,latency_ms,window,min_hits,seed
0.08,1122353,0.34084463357509676,2129.861831665039,5,4,18
0.0779,1120564,0.335399239288466,2130.4922103881836,5,4,19
0.08,1117757,0.3355046734341829,2129.9993991851807,5,4,20
0.0807,1119342,0.33720188237835697,2128.264904022217,5,4,21
0.0816,1122427,0.33613142821214587,2129.2812824249268,5,4,22
0.0772,1124631,0.3370536924005669,2129.57763671875,5,4,23
0.0776,1122014,0.32950423732112866,2127.4826526641846,5,4,24
0.0748,1124002,0.33555622258928375,2129.3880939483643,5,4,25
0.076,1125978,0.33545561002464597,2128.000259399414,5,4,26
0.08,1120890,0.33540088047158884,2127.751588821411,5,4,27
0.0829,1117557,0.33901400561845535,2128.8373470306396,5,4,28
0.0801,1118844,0.34018536891962947,2129.059076309204,5,4,29
0.0804,293268,0.37148472165265606,2014.8968696594238,5,5,0
0.0809,291926,0.37635026649023995,2018.5654163360596,5,5,1
0.0819,292292,0.3717674681837433,2015.7883167266846,5,5,2
0.0831,293707,0.37812772240017567,2015.091896057129,5,5,3
0.0821,292490,0.3746554525390589,2016.700029373169,5,5,4
0.0776,292430,0.36936321759491486,2015.1889324188232,5,5,5
0.0855,293912,0.3762072467631617,2015.519380569458,5,5,6
0.079,294424,0.36339192806977283,2016.0222053527832,5,5,7
0.083,291930,0.37757310066036054,2014.9133205413818,5,5,8
0.0792,295051,0.3701207061095226,2015.7504081726074,5,5,9
0.0837,292587,0.3722929175285966,2017.1897411346436,5,5,10
0.0864,293407,0.3832125617951671,2017.3146724700928,5,5,11
0.0805,294523,0.36716341656445184,2016.279697418213,5,5,12
0.0842,293583,0.3807622981291502,2016.6430473327637,5,5,13
0.0808,295131,0.3738603642794907,2017.7364349365234,5,5,14
0.0794,292820,0.3679645669745306,2015.2266025543213,5,5,15
0.0822,293908,0.3757049431791708,2017.0331001281738,5,5,16
0.0863,294902,0.38000600873966,2019.4065570831299,5,5,17
0.0814,294407,0.37363281095633877,2015.5372619628906,5,5,18
0.0791,292760,0.3680931279220255,2014.3394470214844,5,5,19
0.0794,294041,0.3656664251047499,2016.430377960205,5,5,20
0.0845,293744,0.3794203504920469,2015.4731273651123,5,5,21
0.079,296003,0.37232750214791627,2015.9533023834229,5,5,22
0.0818,293286,0.3719565780683463,2016.9312953948975,5,5,23
0.0803,292529,0.37224437330286964,2017.1236991882324,5,5,24
0.0814,293122,0.3674022539059387,2017.9502964019775,5,5,25
0.0849,293587,0.37334577467726116,2017.5518989562988,5,5,26
0.0823,295465,0.3743588836599859,2017.8337097167969,5,5,27
0.0848,290541,0.38086057407537666,2017.7621841430664,5,5,28
0.0846,292875,0.3777940433011473,2017.4238681793213,5,5,29
0.2668,8436318,0.6393335916515138,2762.5393867492676,7,1,0
0.2688,8406330,0.631157981626437,2757.373332977295,7,1,1
0.2683,8394409,0.6288733335774804,2760.1311206817627,7,1,2
0.2674,8410775,0.6245928669457068,2758.214235305786,7,1,3
0.2746,8391935,0.6383076992032785,2759.2408657073975,7,1,4
0.2635,8430526,0.6247311652280386,2758.9030265808105,7,1,5
0.2716,8370349,0.6316195165305261,2759.042978286743,7,1,6
0.2719,8393333,0.6418734455873575,2758.354902267456,7,1,7
