mode,seed,agents,steps,failures,failure_rate,max_abs_state,mean_abs_state,correction_budget,correction_events,latency_ms,final_instability
control,35,5000,1000,819,0.1638,7.506073869181086,1.4114675451046108,0.0,0,358.8271330081625,0.6704
control,36,5000,1000,769,0.1538,7.385701259128794,1.3923745178207227,0.0,0,359.0184649947332,0.6666
control,37,5000,1000,775,0.155,6.9169397800704795,1.3940889992834797,0.0,0,358.7332439929014,0.6728
control,38,5000,1000,794,0.1588,7.399294173903591,1.373338008886979,0.0,0,358.75958000542596,0.6542
control,39,5000,1000,778,0.1556,6.861275104413653,1.3892327133511477,0.0,0,358.8405740010785,0.6666
control,40,5000,1000,796,0.1592,7.55859497788682,1.4131747800084637,0.0,0,358.8165090041002,0.6704
control,41,5000,1000,841,0.1682,6.613099625294149,1.4168967731932214,0.0,0,358.3627420011908,0.6684
control,42,5000,1000,775,0.155,6.180167709912714,1.3818736103759448,0.0,0,358.94291099975817,0.6666
control,43,5000,1000,819,0.1638,7.07650885184015,1.414068817613854,0.0,0,358.0678559956141,0.6744
control,44,5000,1000,795,0.159,7.6139054363999,1.415865370096309,0.0,0,358.23947499739006,0.681
control,45,5000,1000,747,0.1494,6.324208968260528,1.3699902023209498,0.0,0,358.5119589988608,0.6602
control,46,5000,1000,808,0.1616,6.381788353210375,1.3907427178834886,0.0,0,358.3117629896151,0.6604
control,47,5000,1000,733,0.1466,7.410458578619969,1.3863718004374515,0.0,0,358.2167869899422,0.6696
control,48,5000,1000,770,0.154,7.732547861890298,1.3855479117897513,0.0,0,358.3229000068968,0.6666
control,49,5000,1000,780,0.156,6.341709207852754,1.3951285117158898,0.0,0,358.11719999765046,0.6704
continuous_supervision,0,5000,1000,0,0.0,0.7848286082445997,0.11010458078532642,1539813.0,1000,638.0137679952895,0.0002
continuous_supervision,1,5000,1000,0,0.0,0.7319750027005688,0.10862067144101811,1539720.0,1000,638.1314659956843,0.0
continuous_supervision,2,5000,1000,0,0.0,0.7207965519243411,0.11138671250553818,1537028.0,1000,637.8412839985685,0.0
